name	pop	age
BantuHerero	Africa	0
BantuKenya	Africa	0
BantuTswana	Africa	0
Biaka	Africa	0
Dinka	Africa	0
Esan	Africa	0
Gambian	Africa	0
Ju_hoan_North	Africa	0
Khomani_San	Africa	0
Luhya	Africa	0
Luo	Africa	0
Mandenka	Africa	0
Masai	Africa	0
Mbuti	Africa	0
Mende	Africa	0
Mozabite	Africa	0
Saharawi	Africa	0
Somali	Africa	0
Yoruba	Africa	0
Chane	America	0
Karitiana	America	0
Mayan	America	0
Mixe	America	0
Mixtec	America	0
Piapoco	America	0
Pima	America	0
Quechua	America	0
Surui	America	0
Zapotec	America	0
Aleut	CentralAsiaSiberia	0
Altaian	CentralAsiaSiberia	0
Chukchi	CentralAsiaSiberia	0
Eskimo_Chaplin	CentralAsiaSiberia	0
Eskimo_Naukan	CentralAsiaSiberia	0
Eskimo_Sireniki	CentralAsiaSiberia	0
Even	CentralAsiaSiberia	0
Itelman	CentralAsiaSiberia	0
Kyrgyz	CentralAsiaSiberia	0
Mansi	CentralAsiaSiberia	0
Mongola	CentralAsiaSiberia	0
Tlingit	CentralAsiaSiberia	0
Tubalar	CentralAsiaSiberia	0
Ulchi	CentralAsiaSiberia	0
Yakut	CentralAsiaSiberia	0
Ami	EastAsia	0
Atayal	EastAsia	0
Burmese	EastAsia	0
Cambodian	EastAsia	0
Dai	EastAsia	0
Daur	EastAsia	0
Han	EastAsia	0
Hezhen	EastAsia	0
Japanese	EastAsia	0
Kinh	EastAsia	0
Korean	EastAsia	0
Lahu	EastAsia	0
Miao	EastAsia	0
Naxi	EastAsia	0
Oroqen	EastAsia	0
She	EastAsia	0
Thai	EastAsia	0
Tu	EastAsia	0
Tujia	EastAsia	0
Uygur	EastAsia	0
Xibo	EastAsia	0
Yi	EastAsia	0
Australian	Oceania	0
Bougainville	Oceania	0
Dusun	Oceania	0
Hawaiian	Oceania	0
Igorot	Oceania	0
Maori	Oceania	0
Papuan	Oceania	0
Balochi	SouthAsia	0
Bengali	SouthAsia	0
Brahmin	SouthAsia	0
Brahui	SouthAsia	0
Burusho	SouthAsia	0
Hazara	SouthAsia	0
Irula	SouthAsia	0
Kalash	SouthAsia	0
Kapu	SouthAsia	0
Khonda_Dora	SouthAsia	0
Kusunda	SouthAsia	0
Madiga	SouthAsia	0
Makrani	SouthAsia	0
Mala	SouthAsia	0
Pathan	SouthAsia	0
Punjabi	SouthAsia	0
Relli	SouthAsia	0
Sindhi	SouthAsia	0
Yadava	SouthAsia	0
Abkhasian	WestEurasia	0
Adygei	WestEurasia	0
Albanian	WestEurasia	0
Armenian	WestEurasia	0
Basque	WestEurasia	0
BedouinB	WestEurasia	0
Bergamo	WestEurasia	0
Bulgarian	WestEurasia	0
Chechen	WestEurasia	0
Czech	WestEurasia	0
Druze	WestEurasia	0
English	WestEurasia	0
Estonian	WestEurasia	0
Finnish	WestEurasia	0
French	WestEurasia	0
Georgian	WestEurasia	0
Greek	WestEurasia	0
Hungarian	WestEurasia	0
Icelandic	WestEurasia	0
Iranian	WestEurasia	0
Iraqi_Jew	WestEurasia	0
Jordanian	WestEurasia	0
Lezgin	WestEurasia	0
North_Ossetian	WestEurasia	0
Orcadian	WestEurasia	0
Palestinian	WestEurasia	0
Polish	WestEurasia	0
Russian	WestEurasia	0
Samaritan	WestEurasia	0
Sardinian	WestEurasia	0
Spanish	WestEurasia	0
Tajik	WestEurasia	0
Turkish	WestEurasia	0
Tuscan	WestEurasia	0
Yemenite_Jew	WestEurasia	0
UstIshim	EMH	45020
Oase1	EMH	39610
Kostenki14	EMH	37470
GoyetQ116-1	EMH	34795
Muierii2	EMH	33300
Paglicci133	EMH	32895
Cioclovina1	EMH	32435
Kostenki12	EMH	32415
KremsWA3	EMH	30970
Vestonice13	EMH	30870
Vestonice15	EMH	30870
Vestonice14	EMH	30870
Pavlov1	EMH	30260
Vestonice43	EMH	30010
Vestonice16	EMH	30010
Ostuni2	EMH	28975
GoyetQ53-1	EMH	27975
Paglicci108	EMH	27750
Ostuni1	EMH	27620
GoyetQ376-19	EMH	27515
GoyetQ56-16	EMH	26320
Malta1	EMH	24305
ElMiron	EMH	18720
AfontovaGora3	EMH	16710
AfontovaGora2	EMH	16710
Rigney1	EMH	15465
HohleFels49	EMH	15130
GoyetQ-2	EMH	15005
Brillenhohle	EMH	14780
HohleFels79	EMH	14670
Burkhardtshohle	EMH	14615
Villabruna	EMH	13980
Bichon	EMH	13665
Satsurblia	EMH	13255
Rochedane	EMH	12960
Iboussieres39	EMH	11725
Continenza	EMH	10855
Ranchot88	EMH	10085
LesCloseaux13	EMH	9900
Kotias	EMH	9720
Falkenstein	EMH	9200
Karelia	EMH	8375
Bockstein	EMH	8265
Ofnet	EMH	8245
Chaudardes1	EMH	8205
Loschbour	EMH	8050
LaBrana1	EMH	7815
Hungarian.KO1	EMH	7660
Motala12	EMH	7625
BerryAuBac	EMH	7245
Stuttgart	EMH	7140
